Town,Box code,Street code,City
ALLEN GROVE EXT 1,,1619,KEMPTON PARK
ALLEN GROVE UIT 1,,1619,KEMPTON PARK
ALLEN GROVE EXT 2,,1619,KEMPTON PARK
ALLEN GROVE UIT 2,,1619,KEMPTON PARK
ALLEN GROVE EXT 4,,1619,KEMPTON PARK
ALLEN GROVE UIT 4,,1619,KEMPTON PARK
ALLEN RISE,,4037,MARBLE RAY
ALLEN'S NEK,1737,1709,-
ALLEN'S NEK EXT 1,1737,1709,ALLEN'S NEK
ALLEN'S NEK UIT 1,1737,1709,ALLEN'S NEK
ALLEN'S NEK EXT 2,1737,1709,ALLEN'S NEK
ALLEN'S NEK UIT 2,1737,1709,ALLEN'S NEK
ALLEN'S NEK EXT 27,1737,1709,ALLEN'S NEK
ALLEN'S NEK UIT 27,1737,1709,ALLEN'S NEK
ALLEN'S NEK EXT 3,1737,1709,ALLEN'S NEK
ALLEN'S NEK UIT 3,1737,1709,ALLEN'S NEK
ALLEN'S NEK EXT 36,1737,1709,ALLEN'S NEK
ALLEN'S NEK UIT 36,1737,1709,ALLEN'S NEK
ALLEN'S NEK EXT 4,1737,1709,ALLEN'S NEK
ALLEN'S NEK UIT 4,1737,1709,ALLEN'S NEK
ALLEN'S NEK EXT 9,1737,1709,ALLEN'S NEK
ALLEN'S NEK UIT 9,1737,1709,ALLEN'S NEK
ALLENBY EST,,7945,RETREAT
ALLENBY LGD,,7945,RETREAT
ALMA,0512,,NYLSTROOM
ALOERIDGE,,6670,RIVERSDALE
ALOEVALE,,5319,QUEENSTOWN
ALPHEN EST,,7806,CONSTANTIA
ALPHEN LGD,,7806,CONSTANTIA
ALPHEN PARK,,1501,BENONI
ALPHEN PARK,,0081,MENLO PARK
ALPHENDALE,,5209,EAST LONDON
ALPHINE PARK,,7785,MITCHELLS PLAIN
ALRAPARK,1495,1491,NIGEL
ALRAPARK EXT 1,,1491,NIGEL
ALRAPARK UIT 1,,1491,NIGEL
ALRAPARK EXT 2,,1491,NIGEL
ALRAPARK UIT 2,,1491,NIGEL
ALRODE,1451,,ALBERTON
ALRODE EXT 2,1451,,ALRODE
ALRODE UIT 2,1451,,ALRODE
ALRODE SOUTH,,1451,
ALRODE SOUTH EXT 3,1451,,-
ALRODE SUID UIT 3,1451,,-
ALTON,3900,,RICHARDS BAY
ALTON INDUSTRIAL,3900,,RICHARDS BAY
ALTON INDUSTRIELE,3900,,RICHARDS BAY
ALUNSA,1785,,WESTONARIA
ALVERSTONE,,3610,
AMABELE,4931,4931,KING WILLIAM'S TOWN
AMAJUBA,3385,,
AMAJUBA PARK,2955,,-
AMALGAM,,2092,JOHANNESBURG
AMALIA,2786,2786,SCHWEIZER-RENEKE
AMALINDA,5252,5247,EAST LONDON
AMANDAGLEN,,7550,DURBANVILLE
AMANDASIG,0118,0182,KARENPARK
AMANDASIG EXT 1,0118,0182,KARENPARK
AMANDASIG UIT 1,0118,0182,KARENPARK
AMANDASIG EXT 10,0118,0182,KARENPARK
AMANDASIG UIT 10,0118,0182,KARENPARK
AMANDASIG EXT 2,0118,0182,KARENPARK
AMANDASIG UIT 2,0118,0182,KARENPARK
AMANDASIG EXT 23,,0182,KARENPARK
AMANDASIG UIT 23,,0182,KARENPARK
AMANDASIG EXT 24,,0182,KARENPARK
AMANDASIG UIT 24,,0182,KARENPARK
AMANDASIG EXT 25,,0182,KARENPARK
AMANDASIG UIT 25,,0182,KARENPARK
AMANDASIG EXT 5,0118,0182,KARENPARK
AMANDASIG UIT 5,0118,0182,KARENPARK
AMANDASIG EXT 8,0118,0182,KARENPARK
AMANDASIG UIT 8,0118,0182,KARENPARK
AMANDAWE,4172,,-
AMANDELBULT,0362,,CHROMITE
AMANDELRUG,,7580,KUILS RIVER
AMANDELSIG,,7580,KUILS RIVER
AMANYATI,4820,,LUSIKISIKI
AMANZIMNYAMA,3855,,NKANDLA
AMANZIMTOTI,4125,4126,
AMANZIMYAMA,,4399,TONGAAT
AMAOTI,4080,4309,PHOENIX
AMATHOLE BASIN,5711,,ALICE
AMATHOLE VALLEY,5616,,
AMATIKULU,3801,,-
AMATIKWE,4310,4309,INANDA
AMATOLA VIEW,,5605,
