Town,Box code,Street code,City
DORINGKRUIN,2576,2571,KLERKSDORP
DORMEHLSDRIFT,,6529,GEORGE
DORMERTON,4015,4091,DURBAN
DORPSIG,,6705,ROBERTSON
DORPSPRUIT,3206,3201,PIETERMARITZBURG
DOSSET,3000,,DUNDEE
DOTYENI,5400,,TSOMO
DOUBLE FALLS,5160,,LIBODE
DOUGLAS,8730,8730,-
DOUGLASDALE,2165,2191,BRYANSTON
DOUGLASDALE,2021,2191,BRYANSTON
DOUGLASDALE EXT,2021,2191,BRYANSTON
DOUGLASDALE UIT,2021,2191,BRYANSTON
DOUGLASDALE EXT 13,2055,2191,BRYANSTON
DOUGLASDALE UIT 13,2055,2191,BRYANSTON
DOUGLASDALE EXT 16,2055,2191,BRYANSTON
DOUGLASDALE UIT 16,2055,2191,BRYANSTON
DOUGLASDALE EXT 18,2060,2191,BRYANSTON
DOUGLASDALE UIT 18,2060,2191,BRYANSTON
DOUGLASDALE EXT 24,2055,2191,BRYANSTON
DOUGLASDALE UIT 24,2055,2191,BRYANSTON
DOUGLASDALE EXT 30,,2191,BRYANSTON
DOUGLASDALE UIT 30,,2191,BRYANSTON
DOUGLASDALE EXT 39,,2191,BRYANSTON
DOUGLASDALE UIT 39,,2191,BRYANSTON
DOUGLASDALE EXT 4,2152,2191,BRYANSTON
DOUGLASDALE UIT 4,2152,2191,BRYANSTON
DOUGLASDALE EXT 41,,2191,BRYANSTON
DOUGLASDALE UIT 41,,2191,BRYANSTON
DOUGLASDALE EXT 42,,2191,BRYANSTON
DOUGLASDALE UIT 42,,2191,BRYANSTON
DOUGLASDALE EXT 52,,2191,BRYANSTON
DOUGLASDALE UIT 52,,2191,BRYANSTON
DOUGLASDALE EXT 68,,2191,BRYANSTON
DOUGLASDALE UIT 68,,2191,BRYANSTON
DOUGLASDALE EXT 8,,2191,BRYANSTON
DOUGLASDALE UIT 8,,2191,BRYANSTON
DOUGLASDALE EXT 9,2060,2191,BRYANSTON
DOUGLASDALE UIT 9,2060,2191,BRYANSTON
DOVEHOUSE,,3610,GILLITTS
DOWERGLEN,1612,1609,EDENVALE
DOWERGLEN EXT 1,,1609,EDENVALE
DOWERGLEN UIT 1,,1609,EDENVALE
DOWERGLEN EXT 2,,1609,EDENVALE
DOWERGLEN UIT 2,,1609,EDENVALE
DOWERGLEN EXT 3,,1609,EDENVALE
DOWERGLEN UIT 3,,1609,EDENVALE
DOWERGLEN EXT 4,,1609,EDENVALE
DOWERGLEN UIT 4,,1609,EDENVALE
DOWERGLEN EXT 5,,1609,EDENVALE
DOWERGLEN UIT 5,,1609,EDENVALE
DOWERGLEN EXT 7,,1609,EDENVALE
DOWERGLEN UIT 7,,1609,EDENVALE
DOWERGLEN EXT 8,,1609,EDENVALE
DOWERGLEN UIT 8,,1609,EDENVALE
DOWERGLEN EXT 9,,1609,EDENVALE
DOWERGLEN UIT 9,,1609,EDENVALE
DOWERVILLE,,6059,PORT ELIZABETH
DOWN,,6445,WILLOWMORE
DR BRAUN,,6229,UITENHAGE
DR BRAUN TSP,,6229,UITENHAGE
DR BRAUN DGD,,6229,UITENHAGE
DRAAI LOCATION,,6265,JANSENVILLE
DRAAI LOKASIE,,6265,JANSENVILLE
DRAAIFONTEIN,6017,,HUNTER'S RETREAT
DRAAIKRAAL,1112,,WITBANK
DRAEGER PLACE,4019,,DURBAN NORTH
DRAGON PEAKS,3331,,WINTERTON
DRAKENSBURG GARDEN,3340,,WINTERTON
DRAMAVILLE,,1939,VEREENIGING
DRAYCOTT,3312,,ESTCOURT
DREW,6741,,BONNIEVALE
DREYERSDAL EST,,7945,BERGVLIET
DREYERSDAL LGD,,7945,BERGVLIET
DRIEFONTEIN,2302,,SECUNDA
DRIEFONTEIN,1747,1739,MULDERSDRIF
DRIEFONTEIN,3370,,LADYSMITH
DRIEHOEK,,1401,GERMISTON
DRIEKOP,1129,,-
DRIEKOPPIES,0617,,REBONE
DRIEZIEK,1805,1841,ORANGE FARM
DRIFTSANDS,,7100,EERSTE RIVER
DRIFTSAND,,7100,EERSTE RIVER
DRIFTSANDS,6000,,PORT ELIZABETH
DRIVE INN,,4399,TONGAAT
DRIVER'S DRIFT,5417,,LADY FRERE
DROOGEFONTEIN,2211,,SUNDRA
DROSTDY PARK,,7580,KUILS RIVER
DROSTE PARK,,2094,JOHANNESBURG
DROSTE PARK EXT 1,,2094,JOHANNESBURG
DROSTE PARK UIT 1,,2094,JOHANNESBURG
DRUMBLAIR,,7945,TOKAI
DRUMMOND,3626,,PINETOWN
DRUSANA,9311,,BLOEMFONTEIN
DRY HARTS,8588,,TAUNG STATION
DRYFSAND,8294,,ALEXANDER BAY
DUBE,1800,1801,-
DUBE HOSTEL,,1801,MEADOWLANDS
DUBE VILLAGE,4310,4309,INANDA
DUBE VILLAGE,,1801,DUBE
DUCK POND VILLAGE,,7140,STRAND
DUDUDU,4192,,SCOTTBURGH
DUDUZA,1494,1496,NIGEL
DUDUZA EXT,1497,,GERMISTON
DUDUZA UIT,1497,,GERMISTON
DUFF'S ROAD,,4051,DURBAN NORTH
DUFFWEG,,4051,DURBAN NORTH
DUFFIELD,,2740,LICHTENBURG
DUINENDAL,,7140,STRAND
DUIWELSKLOOF,0835,0835,-
DUKATHOLE,9752,9750,ALIWAL NORTH
DUKATHOLE,1411,1401,GERMISTON
DUKUDUKU,3883,,-
DUKUDUKU,3936,,ST LUCIA ESTUARY
DUKUZA,3350,,BERGVILLE
DULCIES NEK,9766,,-
DULLSTROOM,1110,,-
DUMABENSHIYA,4821,,-
DUMBE,3182,,-
DUMPHRIES,1369,,THULAMAHASHE
DUNCANVILLE,,1939,VEREENIGING
DUNCANVILLE EXT 1,,1939,VEREENIGING
DUNCANVILLE UIT 1,,1939,VEREENIGING
DUNCANVILLE EXT 3,,1939,VEREENIGING
DUNCANVILLE UIT 3,,1939,VEREENIGING
DUNDEE,3000,3000,
DUNDEE INDUSTRIAL,,3000,DUNDEE
DUNDONALD,2336,,ERMELO
DUNDONALD EXT 2,,2336,DUNDONALD
DUNDONALD UIT 2,,2336,DUNDONALD
DUNGU,5090,,MOUNT FRERE
DUNHILL,,2192,JOHANNESBURG
DUNKELD,,2196,JOHANNESBURG
DUNKELD WEST,,2196,JOHANNESBURG
DUNKELD-WES,,2196,JOHANNESBURG
DUNKELD WEST EXT 1,,2196,JOHANNESBURG
DUNKELD-WES UIT 1,,2196,JOHANNESBURG
DUNKELD WEST EXT 2,,2196,JOHANNESBURG
DUNKELD-WES UIT 2,,2196,JOHANNESBURG
DUNKELD WEST EXT 27,,2196,JOHANNESBURG
DUNKELD-WES UIT 27,,2196,JOHANNESBURG
DUNKELD WEST EXT 46,,2196,JOHANNESBURG
DUNKELD-WES UIT 46,,2196,JOHANNESBURG
DUNKELD WEST EXT 5,,2196,JOHANNESBURG
DUNKELD-WES UIT 5,,2196,JOHANNESBURG
DUNKELD WEST EXT 6,,2196,JOHANNESBURG
DUNKELD-WES UIT 6,,2196,JOHANNESBURG
DUNKELD WEST EXT 7,,2196,JOHANNESBURG
DUNKELD-WES UIT 7,,2196,JOHANNESBURG
DUNKELD WEST EXT 8,,2196,JOHANNESBURG
DUNKELD-WES UIT 8,,2196,JOHANNESBURG
DUNMADELEY,,1459,BOKSBURG
DUNNOTTAR,1590,1496,NIGEL
DUNOON,,7441,MILNERTON
DUNSEVERN,,2090,JOHANNESBURG
DUNSWART,1508,,BENONI
DUNUSA,1916,,VANDERBIJLPARK
DUNVEGAN,,1609,EDENVALE
DUNVERIA,,3201,PIETERMARITZBURG
DURBAN,4000,4001,
DURBAN DEEP,,1724,ROODEPOORT
DURBAN INTERNATIONAL AIRPORT,4029,,DURBAN
DURBAN INTERNASIONALE LUGHAWE,4029,,DURBAN
DURBAN NORTH,4016,4051,DURBAN
DURBAN-NOORD,4016,4051,DURBAN
DURBANVILLE,7551,7550,CAPE TOWN
DURBANVILLE HILLS,,7550,DURBANVILLE
DURBELL,,7550,DURBANVILLE
DURMAIL,4003,,-
DURMONTE,,7550,DURBANVILLE
DURNACOL,3082,,NEWCASTLE
DURRHEIGHTS,5000,,IDUTYWA
DURRHEIM,7491,7490,MATROOSFONTEIN
DUTYINI,4737,,MOUNT AYLIFF
DUTYINI,5130,,TABANKULU
DUVHA PARK,,1034,WITBANK
DUXBERRY,2149,2191,JOHANNESBURG
DUXBERRY EXT 1,2149,2191,JOHANNESBURG
DUXBERRY UIT 1,2149,2191,JOHANNESBURG
DUYNEFONTEIN,,7441,MELKBOSSTRAND
DWAALBOOM,0319,,THABAZIMBI
DWARS RIVER,0812,0812,POLOKWANE
DWARSRIVIER,0812,0812,POLOKWANE
DWARSBERG,2857,,MAFIKENG
DWARSKLOOF,,1759,RANDFONTEIN
DWARSVLEI,,1759,RANDFONTEIN
DWESHULA,4247,,PORT SHEPSTONE
DYASONSKLIP,8805,,UPINGTON
DYSSELSDORP,6628,6628,OUDTSHOORN
DZANANI,0955,0955,SIBASA
DZIMAULI,0975,0975,SIBASA
DZUMERI,0833,,MALAMULELE
E-FREEDOM SAVE,0079,,PRETORIA
EAGLE PARK,,7941,GRASSY PARK
EAGLE'S NEK,4960,,BUTTERWORTH
EAGLE'S NEST,,2091,JOHANNESBURG
EAGLES LANDING,2040,,JOHANNESBURG
EARLSFIELD,,4037,MARBLE RAY
EAST BANK,,2090,JOHANNESBURG
EAST DRIEFONTEIN,2509,2499,CARLETONVILLE
OOS-DRIEFONTEIN,2509,2499,CARLETONVILLE
EAST END,4018,,DURBAN
OOS-EINDE,4018,,DURBAN
EAST END,9300,9300,BLOEMFONTEIN
OOS-EINDE,9300,9300,BLOEMFONTEIN
EAST GEDULD,1568,1559,SPRINGS
OOS-GEDULD,1568,1559,SPRINGS
EAST GEDULD EXT,,1559,SPRINGS
OOS-GEDULD UIT,,1559,SPRINGS
EAST LONDON,5200,5201,-
OOS-LONDEN,5200,5201,-
EAST LYNNE,,0186,PRETORIA
EAST LYNNE EXT 2,,0186,PRETORIA
EAST LYNNE UIT 2,,0186,PRETORIA
EAST PARK,,1754,KAGISO
EAST PARK EXT 2,,1754,KAGISO
EAST PARK UIT 2,,1754,KAGISO
EAST PARK EXT 5,,1754,KAGISO
EAST PARK UIT 5,,1754,KAGISO
EAST RAND,1462,,BOKSBURG
OOS-RAND,1462,,BOKSBURG
EAST ROCK,,7550,DURBANVILLE
EAST TOWN,,2195,JOHANNESBURG
EAST VILLAGE,,1459,BOKSBURG
EASTBOURNE FARM,2952,2952,OSIZWENI
EASTBURY,,4068,PHOENIX
EASTBURY PARK,4158,,PHOENIX
EASTCLIFF,,2190,JOHANNESBURG
EASTCLIFF,,7200,HERMANUS
EASTDENE,1050,1055,MIDDELBURG
EASTERN EXTENSION,,6529,GEORGE
EASTERN UIT,,6529,GEORGE
EASTFIELD,,1475,RUSLOO
EASTFIELD EXT 10,,1475,RUSLOO
EASTFIELD UIT 10,,1475,RUSLOO
EASTFIELD EXT 16,,1475,RUSLOO
EASTFIELD UIT 16,,1475,RUSLOO
EASTFIELD EXT 23,,1475,RUSLOO
EASTFIELD UIT 23,,1475,RUSLOO
EASTFORD DOWNS,,6571,KNYSNA
EASTFORD RIDGE,,6571,KNYSNA
EASTGATE,2103,2090,JOHANNESBURG
EASTGATE EXT,2148,2090,JOHANNESBURG
EASTGATE UIT,2148,2090,JOHANNESBURG
EASTGATE EXT 11,2148,2090,JOHANNESBURG
EASTGATE UIT 11,2148,2090,JOHANNESBURG
EASTGATE EXT 12,2148,2090,JOHANNESBURG
EASTGATE UIT 12,2148,2090,JOHANNESBURG
EASTGATE EXT 13,2148,2090,JOHANNESBURG
EASTGATE UIT 13,2148,2090,JOHANNESBURG
EASTGATE EXT 18,2148,2090,JOHANNESBURG
EASTGATE UIT 18,2148,2090,JOHANNESBURG
EASTGATE EXT 3,2148,2090,JOHANNESBURG
EASTGATE UIT 3,2148,2090,JOHANNESBURG
EASTGATE EXT 4,2148,2090,JOHANNESBURG
EASTGATE UIT 4,2148,2090,JOHANNESBURG
EASTGATE EXT 6,2148,2090,JOHANNESBURG
EASTGATE UIT 6,2148,2090,JOHANNESBURG
EASTGATE EXT 8,2148,2090,JOHANNESBURG
EASTGATE UIT 8,2148,2090,JOHANNESBURG
EASTGATE EXT 9,2148,2090,JOHANNESBURG
EASTGATE UIT 9,2148,2090,JOHANNESBURG
EASTLAKE,,7945,MUIZENBERG
EASTLAKE ISLAND,,7945,MUIZENBERG
EASTLAKE VILLAGE,,7945,MUIZENBERG
EASTLEIGH,,1609,EDENVALE
EASTRIDGE,,7785,MITCHELLS PLAIN
EASTVALE,1558,1559,SPRINGS
EASTWOLDS,3241,,DONNYBROOK
EASTWOOD,,0083,PRETORIA
EASTWOOD,,3201,PIETERMARITZBURG
EATONSIDE,1904,1929,VEREENIGING
EBENDE,5000,,IDUTYWA
EBENHAESER,8149,,LUTZVILLE
EBHOTWE,5040,,WILLOWVALE
EBILANYONI,3185,,PAULPIETERSBURG
EBONY PARK,1690,1632,TEMBISA
EBONY PARK EXT 4,1690,1632,TEMBISA
EBONY PARK UIT 4,1690,1632,TEMBISA
EBONY PARK EXT 5,,1632,TEMBISA
EBONY PARK UIT 5,,1632,TEMBISA
EBUMNANDINI,,1754,KAGISO
ECHIBINI,3242,,OZWATINI
EDELWEISS,1577,1559,SPRINGS
EDELWEISS EXT,,1559,SPRINGS
EDELWEISS UIT,,1559,SPRINGS
EDELWEISS EXT 1,,1559,SPRINGS
EDELWEISS UIT 1,,1559,SPRINGS
EDELWEISS EXT 3,,1559,SPRINGS
EDELWEISS UIT 3,,1559,SPRINGS
EDELWEISS EXT 6,,1559,SPRINGS
EDELWEISS UIT 6,,1559,SPRINGS
EDEN,,6529,GEORGE
EDEN GLEN,1613,1609,EDENVALE
EDEN GLEN EXT 1,,1609,EDENVALE
EDEN GLEN UIT 1,,1609,EDENVALE
EDEN GLEN EXT 11,,1609,EDENVALE
EDEN GLEN UIT 11,,1609,EDENVALE
EDEN GLEN EXT 12,,1609,EDENVALE
EDEN GLEN UIT 12,,1609,EDENVALE
EDEN GLEN EXT 13,,1609,EDENVALE
EDEN GLEN UIT 13,,1609,EDENVALE
EDEN GLEN EXT 14,,1609,EDENVALE
EDEN GLEN UIT 14,,1609,EDENVALE
EDEN GLEN EXT 15,,1609,EDENVALE
EDEN GLEN UIT 15,,1609,EDENVALE
EDEN GLEN EXT 18,,1609,EDENVALE
EDEN GLEN UIT 18,,1609,EDENVALE
EDEN GLEN EXT 19,,1609,EDENVALE
EDEN GLEN UIT 19,,1609,EDENVALE
EDEN GLEN EXT 2,,1609,EDENVALE
EDEN GLEN UIT 2,,1609,EDENVALE
EDEN GLEN EXT 20,,1609,EDENVALE
EDEN GLEN UIT 20,,1609,EDENVALE
EDEN GLEN EXT 21,,1609,EDENVALE
EDEN GLEN UIT 21,,1609,EDENVALE
EDEN GLEN EXT 24,,1609,EDENVALE
EDEN GLEN UIT 24,,1609,EDENVALE
EDEN GLEN EXT 29,,1609,EDENVALE
EDEN GLEN UIT 29,,1609,EDENVALE
EDEN GLEN EXT 3,,1609,EDENVALE
EDEN GLEN UIT 3,,1609,EDENVALE
EDEN GLEN EXT 30,,1609,EDENVALE
EDEN GLEN UIT 30,,1609,EDENVALE
EDEN GLEN EXT 35,,1609,EDENVALE
EDEN GLEN UIT 35,,1609,EDENVALE
EDEN GLEN EXT 36,,1609,EDENVALE
EDEN GLEN UIT 36,,1609,EDENVALE
EDEN GLEN EXT 38,,1609,EDENVALE
EDEN GLEN UIT 38,,1609,EDENVALE
EDEN GLEN EXT 4,,1609,EDENVALE
EDEN GLEN UIT 4,,1609,EDENVALE
EDEN GLEN EXT 40,,1609,EDENVALE
EDEN GLEN UIT 40,,1609,EDENVALE
EDEN GLEN EXT 5,,1609,EDENVALE
EDEN GLEN UIT 5,,1609,EDENVALE
EDEN GLEN EXT 51,,1609,EDENVALE
EDEN GLEN UIT 51,,1609,EDENVALE
EDEN GLEN EXT 55,,1609,EDENVALE
EDEN GLEN UIT 55,,1609,EDENVALE
EDEN GLEN EXT 59,,1609,EDENVALE
EDEN GLEN UIT 59,,1609,EDENVALE
EDEN GLEN EXT 6,,1609,EDENVALE
EDEN GLEN UIT 6,,1609,EDENVALE
EDEN GLEN EXT 60,,1609,EDENVALE
EDEN GLEN UIT 60,,1609,EDENVALE
EDEN GLEN EXT 8,,1609,EDENVALE
EDEN GLEN UIT 8,,1609,EDENVALE
EDEN PARK,1455,1458,ALBERTON
EDEN PARK,,7560,BRACKENFELL
EDEN PARK,,1034,WITBANK
EDEN PARK EXT 1,,1458,ALBERTON
EDEN PARK UIT 1,,1458,ALBERTON
EDEN PARK WEST,,1458,
EDEN PARK-WES,,1458,
EDEN STORE,4260,,IZINGOLWENI
EDENBURG,9908,9908,-
EDENBURG,2128,2191,JOHANNESBURG
EDENDALE,3217,3201,PIETERMARITZBURG
EDENDALE,,1609,EDENVALE
EDENHILL,,1609,EDENVALE
EDENHOOGTE,9908,9908,EDENBURG
EDENVALE,1610,1609,GAUTENG
EDENVALE EXT 1,,1609,EDENVALE
EDENVALE UIT 1,,1609,EDENVALE
EDENVILLE,9535,9535,FREE STATE
EDGARDALE,,2092,JOHANNESBURG
EDGE OF THE VAAL,,1911,VANDERBIJLPARK
EDGEMEAD,7407,7441,CAPE TOWN
EDLEEN,1625,1619,KEMPTON PARK
EDLEEN EXT 1,,1619,KEMPTON PARK
EDLEEN UIT 1,,1619,KEMPTON PARK
EDLEEN EXT 13,,1619,KEMPTON PARK
EDLEEN UIT 13,,1619,KEMPTON PARK
EDLEEN EXT 3,,1619,KEMPTON PARK
EDLEEN UIT 3,,1619,KEMPTON PARK
EDLEEN EXT 5,,1619,KEMPTON PARK
EDLEEN UIT 5,,1619,KEMPTON PARK
EDNESS,5130,,TABANKULU
EDONQABA,5609,5601,KING WILLIAM'S TOWN
EDRAYINI,3010,,TUGELA FERRY
EDUAN PARK,,0699,POLOKWANE
EDUWIN,1415,,GERMISTON
EDWARD ROAD,4270,,UVONGO
EEDERVALE,,7100,
EENDEKUIL,7335,,PIKETBERG
EENDRAG,2266,2266,EVANDER
EENSAAM,1059,,-
EERSTE RIVER,7103,7100,CAPE TOWN
EERSTERIVIER,7103,7100,CAPE TOWN
EERSTE RIVER SOUTH,,7100,
EERSTERIVIER-SUID,,7100,
EERSTEGOUD,0701,,POLOKWANE
EERSTEMYN,9466,9459,WELKOM
EERSTERUS,0021,0022,PRETORIA
EERSTERUS,0401,,-
EERSTERUS EXT 4,,0022,EERSTERUS
EERSTERUS UIT 4,,0022,EERSTERUS
EERSTERUS EXT 5,,0022,EERSTERUS
EERSTERUS UIT 5,,0022,EERSTERUS
EERSTERUS EXT 6,,0022,EERSTERUS
EERSTERUS UIT 6,,0022,EERSTERUS
EFAYE,3236,,DALTON
EFFINGHAM HEIGHTS,,4051,DURBAN NORTH
EGAGASINI,3972,,MKUZE
EGOSO,5050,,ENGCOBO
EGTON,,3370,
EGUGWINI,4310,,INANDA
EHASHINI,3226,,ELANDSKOP
EHEWU,5362,,WHITTLESEA
EHRLICHPARK,9312,9301,BLOEMFONTEIN
EIKEFONTEIN,7571,7570,KRAAIFONTEIN
EIKENBOSCH,,7530,BELLVILLE
EIKENDAL,,7570,KRAAIFONTEIN
EIKENHOF,1872,,MEYERTON
EIKEPARK,,1759,RANDFONTEIN
EILAND,0885,,-
EINDHOVEN,,7100,EERSTE RIVER
EISLEBEN,0818,,POLOKWANE
EJEES,,1739,KRUGERSDORP
EKA HOMU,0831,,MALAMULELE
EKANDUSTRIA,1028,,BRONKHORSTSPRUIT
EKANGALA,1021,1021,BRONKHORSTSPRUIT
EKANGALA EXT A,,1021,EKANGALA
EKANGALA UIT A,,1021,EKANGALA
EKANGALA EXT B,,1021,EKANGALA
EKANGALA UIT B,,1021,EKANGALA
EKANGALA EXT C,,1021,EKANGALA
EKANGALA UIT C,,1021,EKANGALA
EKANGALA EXT D,,1021,EKANGALA
EKANGALA UIT D,,1021,EKANGALA
EKANGALA EXT E,,1021,EKANGALA
EKANGALA UIT E,,1021,EKANGALA
EKANGALA EXT F,,1021,EKANGALA
EKANGALA UIT F,,1021,EKANGALA
EKANGALA EXT G,,1021,EKANGALA
EKANGALA UIT G,,1021,EKANGALA
EKHOMBE,3859,,NKANDLA
EKHWEZENI HOSTEL,1435,,KATLEHONG
EKKLESIA,,0186,PRETORIA
EKKLESIA EXT 1,,0186,PRETORIA
EKKLESIA UIT 1,,0186,PRETORIA
EKKLESIA EXT 3,,0186,LYNN EAST
EKKLESIA UIT 3,,0186,LYNN EAST
EKSTEENFONTEIN,8284,,PORT NOLLOTH
EKUKHANYENI,3857,,MELMOTH
EKULINDENI,1301,,BELFAST
EKUMANAZENI,4310,,INANDA
EKUPHAKAMENI,4310,4309,INANDA
EKUPHULENI,6191,,KENTON ON SEA
EKUPHUMLENI,3242,,OZWATINI
EKUPHUMLENI,,7784,KHAYELITSHA
EKUPHUMLENI,,5360,WHITTLESEA
EKUTHULENI,4103,,-
EKUVUKENI,3383,,-
EKUVUKENI 1,2920,,WASBANK
EKWENDENI,3020,,POMEROY
EL TORO PARK,,8301,KIMBERLEY
ELANDIA,,2571,KLERKSDORP
ELANDIA,,9499,KROONSTAD
ELANDS BAY,8110,,PIKETBERG
ELANDSBAAI,8110,,PIKETBERG
ELANDSDORING,0485,,GROBLERSDAL
ELANDSDRIF,1747,1739,MULDERSDRIF
ELANDSFONTEIN,1406,1601,-
ELANDSFONTEIN,,1779,WESTONARIA
ELANDSFONTEIN RAIL,,1429,ELANDSFONTEIN
ELANDSFONTEIN SPOOR,,1429,ELANDSFONTEIN
ELANDSGOUD,2508,2499,CARLETONVILLE
ELANDSHAVEN,,1449,ALBERTON
ELANDSHAVEN,,1429,ELANDSFONTEIN
ELANDSHAVEN EXT 3,,1429,ELANDSFONTEIN
ELANDSHAVEN UIT 3,,1429,ELANDSFONTEIN
ELANDSHEUWEL,,2571,KLERKSDORP
ELANDSHOEK,1208,,NELSPRUIT
ELANDSHOOGTE,5480,,MACLEAR
ELANDSKOP,3226,,PIETERMARITZBURG
ELANDSKRAAL,3017,,DUNDEE
ELANDSLAAGTE,2900,,LADYSMITH
ELANDSPARK,,2197,JOHANNESBURG
ELANDSPOORT,0032,0183,PRETORIA
ELANDSRAND,,2499,CARLETONVILLE
ELANDSRAND,,0250,BRITS
ELANDSRIDGE,,2499,CARLETONVILLE
ELANDSVLEI,,1759,RANDFONTEIN
ELANGENI,,6506,MOSSEL BAY
ELARDUSPARK,0047,0181,PRETORIA
ELARDUSPARK EXT 1,,0181,WATERKLOOF
ELARDUSPARK UIT 1,,0181,WATERKLOOF
ELARDUSPARK EXT 11,,0181,WATERKLOOF
ELARDUSPARK UIT 11,,0181,WATERKLOOF
ELARDUSPARK EXT 2,,0181,WATERKLOOF
ELARDUSPARK UIT 2,,0181,WATERKLOOF
ELARDUSPARK EXT 26,,0181,-
ELARDUSPARK UIT 26,,0181,-
ELARDUSPARK EXT 3,,0181,WATERKLOOF
ELARDUSPARK UIT 3,,0181,WATERKLOOF
ELARDUSPARK EXT 4,,0181,WATERKLOOF
ELARDUSPARK UIT 4,,0181,WATERKLOOF
ELARDUSPARK EXT 5,,0181,WATERKLOOF
ELARDUSPARK UIT 5,,0181,WATERKLOOF
ELARDUSPARK EXT 6,,0181,WATERKLOOF
ELARDUSPARK UIT 6,,0181,WATERKLOOF
ELARDUSPARK EXT 7,,0181,WATERKLOOF
ELARDUSPARK UIT 7,,0181,WATERKLOOF
ELARDUSPARK EXT 9,,0181,WATERKLOOF
ELARDUSPARK UIT 9,,0181,WATERKLOOF
ELCEDES,,2094,JOHANNESBURG
ELDO MANOR,,0157,CENTURION
ELDOGLEN,0171,0157,-
ELDOPARK,0166,0157,PRETORIA
ELDORADO,0718,,RADITSHABA
ELDORADOPARK,1813,1811,-
ELDORADOPARK EXT,,1811,ELDORADOPARK
ELDORADOPARK UIT,,1811,ELDORADOPARK
ELDORADOPARK EXT 1,,1811,ELDORADOPARK
ELDORADOPARK UIT 1,,1811,ELDORADOPARK
ELDORADOPARK EXT 10,,1811,ELDORADOPARK
ELDORADOPARK UIT 10,,1811,ELDORADOPARK
ELDORADOPARK EXT 11,,1811,ELDORADOPARK
ELDORADOPARK UIT 11,,1811,ELDORADOPARK
ELDORADOPARK EXT 13,,1811,ELDORADOPARK
ELDORADOPARK UIT 13,,1811,ELDORADOPARK
ELDORADOPARK EXT 2,,1811,ELDORADOPARK
ELDORADOPARK UIT 2,,1811,ELDORADOPARK
ELDORADOPARK EXT 3,,1811,ELDORADOPARK
ELDORADOPARK UIT 3,,1811,ELDORADOPARK
ELDORADOPARK EXT 4,,1811,ELDORADOPARK
ELDORADOPARK UIT 4,,1811,ELDORADOPARK
ELDORADOPARK EXT 5,,1811,ELDORADOPARK
ELDORADOPARK UIT 5,,1811,ELDORADOPARK
ELDORADOPARK EXT 6,,1811,ELDORADOPARK
ELDORADOPARK UIT 6,,1811,ELDORADOPARK
ELDORADOPARK EXT 7,,1811,ELDORADOPARK
ELDORADOPARK UIT 7,,1811,ELDORADOPARK
ELDORADOPARK EXT 8,,1811,ELDORADOPARK
ELDORADOPARK UIT 8,,1811,ELDORADOPARK
ELDORADOPARK EXT 9,,1811,ELDORADOPARK
ELDORADOPARK UIT 9,,1811,ELDORADOPARK
ELDORAIGNE,0171,0157,CENTURION
ELDORAIGNE EXT 1,,0157,CENTURION
ELDORAIGNE UIT 1,,0157,CENTURION
ELDORAIGNE EXT 11,,0157,CENTURION
ELDORAIGNE UIT 11,,0157,CENTURION
ELDORAIGNE EXT 16,,0157,CENTURION
ELDORAIGNE UIT 16,,0157,CENTURION
ELDORAIGNE EXT 17,,0157,CENTURION
ELDORAIGNE UIT 17,,0157,CENTURION
ELDORAIGNE EXT 18,,0157,CENTURION
ELDORAIGNE UIT 18,,0157,CENTURION
ELDORAIGNE EXT 19,,0157,CENTURION
ELDORAIGNE UIT 19,,0157,CENTURION
ELDORAIGNE EXT 2,,0157,CENTURION
ELDORAIGNE UIT 2,,0157,CENTURION
ELDORAIGNE EXT 21,,0157,CENTURION
ELDORAIGNE UIT 21,,0157,CENTURION
ELDORAIGNE EXT 26,,0157,CENTURION
ELDORAIGNE UIT 26,,0157,CENTURION
ELDORAIGNE EXT 27,,0157,CENTURION
ELDORAIGNE UIT 27,,0157,CENTURION
ELDORAIGNE EXT 3,,0157,CENTURION
ELDORAIGNE UIT 3,,0157,CENTURION
ELDORAIGNE EXT 31,,0157,CENTURION
ELDORAIGNE UIT 31,,0157,CENTURION
ELDORAIGNE EXT 32,,0157,CENTURION
ELDORAIGNE UIT 32,,0157,CENTURION
ELDORAIGNE EXT 33,,0157,CENTURION
ELDORAIGNE UIT 33,,0157,CENTURION
ELDORAIGNE EXT 35,,0157,CENTURION
ELDORAIGNE UIT 35,,0157,CENTURION
ELDORAIGNE EXT 37,,0157,CENTURION
ELDORAIGNE UIT 37,,0157,CENTURION
ELDORAIGNE EXT 40,,0157,CENTURION
ELDORAIGNE UIT 40,,0157,CENTURION
ELDORAIGNE EXT 47,,0157,CENTURION
ELDORAIGNE UIT 47,,0157,CENTURION
ELDORAIGNE EXT 5,,0157,CENTURION
ELDORAIGNE UIT 5,,0157,CENTURION
ELDORAIGNE EXT 6,,0157,CENTURION
ELDORAIGNE UIT 6,,0157,CENTURION
ELDORAIGNE EXT 9,,0157,CENTURION
ELDORAIGNE UIT 9,,0157,CENTURION
ELDORETTE EXT 1,,0182,PRETORIA NORTH
ELDORETTE UIT 1,,0182,PRETORIA NORTH
ELECTION PARK,1916,,VANDERBIJLPARK
ELECTRAPARK,,8301,KIMBERLEY
